행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
경기도 의왕시 (4143000000),00~07,"12,181","11,487","10,671","9,865","10,198","10,353",37.34574555,126.9768705,,
경기도 의왕시 (4143000000),08~13,"8,647","8,440","8,279","8,080","8,282","8,535",37.34574555,126.9768705,,
경기도 의왕시 (4143000000),14~16,"5,743","5,253","4,759","4,261","4,133","4,009",37.34574555,126.9768705,,
경기도 의왕시 (4143000000),17~19,"6,477","6,159","6,035","5,782","5,531","5,140",37.34574555,126.9768705,,
경기도 의왕시 (4143000000),20~24,"11,601","11,643","11,374","10,999","11,145","11,199",37.34574555,126.9768705,,
경기도 의정부시 (4115000000),00~07,"29,411","29,183","28,706","28,227","27,438","26,225",37.73975244,127.0489036,,
경기도 의정부시 (4115000000),08~13,"24,752","24,122","23,664","23,582","23,968","24,359",37.73975244,127.0489036,,
경기도 의정부시 (4115000000),14~16,"16,359","15,473","14,043","13,119","12,442","11,949",37.73975244,127.0489036,,
경기도 의정부시 (4115000000),17~19,"17,777","17,368","17,036","16,558","15,791","14,532",37.73975244,127.0489036,,
경기도 의정부시 (4115000000),20~24,"31,587","31,970","31,788","31,290","31,001","31,177",37.73975244,127.0489036,,
경기도 이천시 (4150000000),00~07,"17,102","17,327","17,362","16,543","15,622","14,443",37.27566618,127.450773,,
경기도 이천시 (4150000000),08~13,"13,065","13,234","13,154","13,044","13,173","13,313",37.27566618,127.450773,,
경기도 이천시 (4150000000),14~16,"8,105","7,703","7,064","6,675","6,309","6,316",37.27566618,127.450773,,
경기도 이천시 (4150000000),17~19,"9,195","9,367","9,184","9,173","8,757","8,510",37.27566618,127.450773,,
경기도 이천시 (4150000000),20~24,"13,274","13,807","13,675","13,548","13,431","13,797",37.27566618,127.450773,,
경기도 파주시 (4148000000),00~07,"38,160","37,766","37,002","37,172","35,290","33,703",37.85338825,126.8300884,,
경기도 파주시 (4148000000),08~13,"27,780","28,307","28,307","29,250","30,062","31,269",37.85338825,126.8300884,,
경기도 파주시 (4148000000),14~16,"15,718","15,144","14,341","14,007","13,745","13,759",37.85338825,126.8300884,,
경기도 파주시 (4148000000),17~19,"15,265","15,576","15,744","15,897","15,227","14,587",37.85338825,126.8300884,,
경기도 파주시 (4148000000),20~24,"26,295","26,489","26,329","26,536","26,149","26,740",37.85338825,126.8300884,,
경기도 평택시 (4122000000),00~07,"37,604","37,956","37,691","37,436","37,310","37,379",36.99337205,127.1161753,,
경기도 평택시 (4122000000),08~13,"28,670","28,913","29,166","30,015","31,398","33,043",36.99337205,127.1161753,,
경기도 평택시 (4122000000),14~16,"17,661","17,085","15,889","15,141","14,747","14,814",36.99337205,127.1161753,,
경기도 평택시 (4122000000),17~19,"18,482","18,178","18,310","18,098","17,584","16,584",36.99337205,127.1161753,,
경기도 평택시 (4122000000),20~24,"30,617","31,502","32,133","32,514","32,597","33,448",36.99337205,127.1161753,,
경기도 포천시 (4165000000),00~07,"9,427","9,122","8,624","8,029","7,215","6,512",37.88840393,127.195554,,
경기도 포천시 (4165000000),08~13,"8,204","7,898","7,394","7,149","6,918","6,670",37.88840393,127.195554,,
경기도 포천시 (4165000000),14~16,"5,512","5,057","4,638","4,102","3,688","3,412",37.88840393,127.195554,,
경기도 포천시 (4165000000),17~19,"6,088","5,859","5,698","5,360","4,929","4,481",37.88840393,127.195554,,
경기도 포천시 (4165000000),20~24,"10,529","10,216","9,903","9,624","9,184","9,028",37.88840393,127.195554,,
경기도 하남시 (4145000000),00~07,"12,582","18,168","20,778","22,255","23,508","23,416",37.53571173,127.2152679,,
경기도 하남시 (4145000000),08~13,"8,733","11,172","12,787","14,449","16,163","17,707",37.53571173,127.2152679,,
경기도 하남시 (4145000000),14~16,"5,159","5,692","5,811","6,085","6,404","6,588",37.53571173,127.2152679,,
경기도 하남시 (4145000000),17~19,"5,492","6,397","6,767","7,016","7,006","6,933",37.53571173,127.2152679,,
경기도 하남시 (4145000000),20~24,"9,928","12,398","13,299","13,795","14,500","15,167",37.53571173,127.2152679,,
경기도 화성시 (4159000000),00~07,"66,912","71,146","75,009","79,883","82,503","80,741",37.20919674,126.8303933,,
경기도 화성시 (4159000000),08~13,"46,042","49,711","53,208","57,654","63,591","68,148",37.20919674,126.8303933,,
